BlockID,mean(Paint)
0,3.923076923076923
15.1,3.3333333333333335
16.208,4
50.1,4
75.208,3.6
85.1,4
100.204,4
100.5,4.5
201.1,3.5
201.2,4
201.206,3.6666666666666665
207.1,4.4
210,3
213,3
3020.01,2.4285714285714284
3040.1,3.5
3040.2,4.133333333333334
3120.2041,4.035714285714286
3130.2042,2.8333333333333335
3160.206,3.3333333333333335
3180.2,4.6
3190.205,4.166666666666667
3190.2051,4.636363636363637
3200.20501,4
3230.1,3
3240.207,4.0476190476190474
3240.2071,3.409090909090909
3240.2072,4.5
3300.208,4.571428571428571
3300.2081,4.071428571428571
3300.2082,3.6666666666666665
3300.209,3.8333333333333335
3300.20901,2.75
3300.2091,3.4285714285714284
3300.2092,3.769230769230769
3400.2,3.125
3400.21,4.2
3400.3,4.333333333333333
3500.02,2
3500.03,3.5
3520.2,4.333333333333333
3520.3,3
3520.5,3.5714285714285716
3520.6,5
3540.1,4.5
3570.6,3
